TC ID,ASSUMED,기능,Rule,테스트 목적,사전 조건,테스트 단계,입력값,기대 결과,우선순위,분류,관련 기획서 페이지,결과,담당자,Comment
TC-001,N,아이콘 리스트 조회,R-001-01 검색어 기준 드롭다운 '아이콘 명' default 세팅,페이지 최초 접속 시 검색어 기준 드롭다운의 default 값 검증,아이콘 관리 > 아이콘 리스트 페이지 최초 접속,검색어 기준 드롭다운의 선택 값을 확인,,검색어 기준 드롭다운에 '아이콘 명'이 default로 선택됨,Low,Positive,12,,,
TC-002,N,아이콘 리스트 조회,R-001-02 아이콘 명 검색 — {%검색어%} 포함 조건 결과 노출,검색어 기준 '아이콘 명' 선택 후 검색어 입력 시 포함 검색 동작 검증,검색어 기준 드롭다운에 '아이콘 명' 선택 / 검색어 입력 필드에 아이콘 명 일부 텍스트 입력된 상태,1. [검색] 버튼을 클릭 / 2. 검색 결과 목록을 확인,특정 아이콘 명의 일부 문자열,입력한 문자열을 포함하는 아이콘 명의 항목만 결과에 노출됨,High,Positive,12,,,
TC-003,N,아이콘 리스트 조회,R-001-03 아이콘 번호 검색 — {검색어} 완전 일치 조건 결과 노출,검색어 기준 '아이콘 번호' 선택 후 번호 입력 시 완전 일치 검색 동작 검증,검색어 기준 드롭다운에 '아이콘 번호' 선택 / 검색어 입력 필드에 유효한 아이콘 번호 입력된 상태,1. [검색] 버튼을 클릭 / 2. 검색 결과 목록을 확인,등록된 아이콘 번호,입력한 번호와 일치하는 아이콘 항목만 결과에 노출됨,High,Positive,12,,,
TC-004,N,아이콘 리스트 조회,R-001-04 기간 검색 — 2주 전 ~ 당일 default 세팅,페이지 최초 접속 시 기간 검색 필터의 default 설정값 검증,아이콘 리스트 페이지 최초 접속,기간 검색 필터에 설정된 날짜 범위를 확인,,오늘로부터 2주 전 날짜 ~ 당일 날짜가 default로 설정됨,Medium,Positive,12,,,
TC-005,N,아이콘 리스트 조회,R-001-05-01 유형 구분 — 모든 항목 선택 default,페이지 최초 접속 시 유형 구분 필터의 default 선택 상태 검증,아이콘 리스트 페이지 최초 접속,유형 구분 필터의 선택 상태를 확인,,전체 / 텍스트 / 이미지 모든 항목이 선택된 상태로 노출됨,Low,Positive,12,,,
TC-006,N,아이콘 리스트 조회,R-001-05-02 유형 구분 — '전체' 선택 시 모든 항목 선택,유형 구분에서 '전체' 항목 클릭 시 모든 항목이 선택되는지 검증,유형 구분 필터에서 일부 항목만 선택된 상태 (예: '텍스트'만 선택),1. '전체' 항목을 클릭 / 2. 유형 구분 필터의 선택 상태를 확인,,전체 / 텍스트 / 이미지 모든 항목이 선택됨,Medium,Positive,12,,,
TC-007,N,아이콘 리스트 조회,R-001-05-03 유형 구분 — 전체 제외 모든 항목 선택 시 '전체' 자동 선택,'전체'를 제외한 모든 개별 항목 선택 시 '전체' 자동 선택 여부 검증,유형 구분 필터에서 '전체' 항목이 해제된 상태,1. '전체'를 제외한 텍스트 / 이미지 항목을 모두 선택 / 2. '전체' 항목 선택 상태를 확인,,'전체' 항목이 자동으로 선택됨,Medium,Positive,12,,,
TC-008,N,아이콘 리스트 조회,R-001-06-01 사용 여부 — 모든 항목 선택 default,페이지 최초 접속 시 사용 여부 필터의 default 선택 상태 검증,아이콘 리스트 페이지 최초 접속,사용 여부 필터의 선택 상태를 확인,,전체 / 사용 / 사용 안 함 모든 항목이 선택된 상태로 노출됨,Low,Positive,12,,,
TC-009,N,아이콘 리스트 조회,R-001-06-02 사용 여부 — '전체' 선택 시 모든 항목 선택,사용 여부에서 '전체' 항목 클릭 시 모든 항목이 선택되는지 검증,사용 여부 필터에서 일부 항목만 선택된 상태 (예: '사용'만 선택),1. '전체' 항목을 클릭 / 2. 사용 여부 필터의 선택 상태를 확인,,전체 / 사용 / 사용 안 함 모든 항목이 선택됨,Medium,Positive,12,,,
TC-010,N,아이콘 리스트 조회,R-001-06-03 사용 여부 — 전체 제외 모든 항목 선택 시 '전체' 자동 선택,'전체'를 제외한 사용 / 사용 안 함 모두 선택 시 '전체' 자동 선택 여부 검증,사용 여부 필터에서 '전체' 항목이 해제된 상태,1. '전체'를 제외한 '사용' / '사용 안 함' 항목을 모두 선택 / 2. '전체' 항목 선택 상태를 확인,,'전체' 항목이 자동으로 선택됨,Medium,Positive,12,,,
