TC ID,ASSUMED,기능,Rule,테스트 목적,사전 조건,테스트 단계,입력값,기대 결과,우선순위,분류,관련 기획서 페이지,결과,담당자,Comment
TC-017,N,아이콘 리스트 결과,R-002-01 결과 — 아이콘 번호 내림차순 정렬,검색 결과가 아이콘 번호 내림차순으로 정렬되는지 검증,복수의 아이콘이 등록된 상태로 검색 실행,검색 결과 목록의 아이콘 번호 순서를 확인,,아이콘 번호가 내림차순(등록 최신순)으로 정렬됨,Medium,Positive,12,,,
TC-018,N,아이콘 리스트 결과,R-002-02 결과 — 검색결과 항목 개수 표시,검색 결과 영역에 항목 개수가 표시되는지 검증,검색 조건으로 검색 실행된 상태,검색 결과 영역의 항목 개수 표시를 확인,,검색된 총 항목 개수가 결과 영역에 표시됨,Medium,Positive,12,,,
TC-019,N,아이콘 리스트 결과,R-002-03 페이지네이션 — 50행 초과 시 노출 (BV-MIN: 49개),검색 결과 49개 시 페이지네이션이 노출되지 않는지 검증,검색 결과가 49개인 조건으로 검색된 상태,결과 목록 하단의 페이지네이션 영역을 확인,,페이지네이션이 노출되지 않음,High,Boundary,12,,,
TC-020,N,아이콘 리스트 결과,R-002-03 페이지네이션 — 50행 초과 시 노출 (BV-EXACT: 50개),검색 결과가 정확히 50개일 때 페이지네이션 미노출 여부 검증,검색 결과가 정확히 50개인 조건으로 검색된 상태,결과 목록 하단의 페이지네이션 영역을 확인,,페이지네이션이 노출되지 않음,High,Boundary,12,,,
TC-021,N,아이콘 리스트 결과,R-002-03 페이지네이션 — 50행 초과 시 노출 (BV-MAX: 51개),검색 결과가 51개일 때 페이지네이션이 노출되는지 검증,검색 결과가 51개 이상인 조건으로 검색된 상태,결과 목록 하단의 페이지네이션 영역을 확인,,페이지네이션이 노출됨,High,Boundary,12,,,
TC-022,N,아이콘 리스트 결과,R-002-04 레이아웃 — 검색 조건 FIXED / 결과 영역 SCROLL,결과 영역 스크롤 시 검색 조건 영역이 고정되는지 검증,검색 결과가 스크롤이 필요할 만큼 충분히 노출된 상태,1. 결과 영역을 아래로 스크롤 / 2. 검색 조건 영역의 위치를 확인,,검색 조건 영역이 화면 상단에 고정됨,Medium,Positive,"12, 15",,,
TC-023,N,아이콘 리스트 결과,R-002-05 레이아웃 — 화면 초과 열의 좌우 스크롤 가능,결과 리스트의 열이 화면을 초과할 때 좌우 스크롤 가능 여부 검증,검색 결과가 있는 상태,1. 결과 리스트 영역을 좌우로 스크롤 / 2. 화면 밖의 열 노출 여부를 확인,,좌우 스크롤로 화면 밖의 열이 노출됨,Low,Positive,12,,,
TC-024,N,아이콘 리스트 결과,R-002-06 유형 컬럼 — 등록 시 선택한 유형(텍스트/이미지) 노출,유형 컬럼에 등록 시 선택한 유형이 정확히 노출되는지 검증,텍스트 유형과 이미지 유형 아이콘이 각각 등록된 상태,결과 리스트에서 각 항목의 유형 컬럼 값을 확인,,등록 시 선택한 유형(텍스트 또는 이미지)이 각 항목에 노출됨,Medium,Positive,12,,,
TC-025,N,아이콘 리스트 결과,R-002-07 전시 기간 컬럼 — YYYY-MM-DD hh:mm:ss 형식 노출,전시 기간 컬럼에 YYYY-MM-DD hh:mm:ss 형식으로 노출되는지 검증,전시 기간이 설정된 아이콘이 등록된 상태,결과 리스트에서 전시 기간 컬럼 값의 형식을 확인,,YYYY-MM-DD hh:mm:ss ~ YYYY-MM-DD hh:mm:ss 형식으로 전시 기간이 노출됨,Low,Positive,12,,,
TC-026,N,아이콘 리스트 결과,R-002-08 사용 여부 컬럼 — 사용/사용 안 함 표시,사용 여부 컬럼에 등록 시 설정한 값이 노출되는지 검증,사용/사용 안 함 상태의 아이콘이 각각 등록된 상태,결과 리스트에서 각 항목의 사용 여부 컬럼 값을 확인,,등록 시 설정한 사용 여부(사용 또는 사용 안 함)가 각 항목에 노출됨,Medium,Positive,12,,,
TC-027,N,아이콘 리스트 결과,R-002-09 적용 대상 컬럼 — 등록 시 선택한 적용 대상 노출,적용 대상 컬럼에 등록 시 선택한 항목이 노출되는지 검증,다양한 적용 대상(전체/표준 카테고리/전시 카테고리/파트너/개별상품)으로 각각 아이콘이 등록된 상태,결과 리스트에서 각 항목의 적용 대상 컬럼 값을 확인,,등록 시 선택한 적용 대상이 각 항목에 노출됨,Medium,Positive,12,,,
TC-028,N,아이콘 리스트 결과,R-002-10 등록일 컬럼 — YYYY-MM-DD hh:mm:ss 형식 / 최초 등록일,등록일 컬럼이 최초 등록 시점을 YYYY-MM-DD hh:mm:ss 형식으로 노출하는지 검증,아이콘이 등록된 상태,결과 리스트에서 등록일 컬럼 값의 형식 및 시점을 확인,,YYYY-MM-DD hh:mm:ss 형식으로 최초 등록일이 노출됨,Low,Positive,12,,,
TC-029,N,아이콘 리스트 결과,R-002-11 수정일 컬럼 — 가장 최근 저장 시점 노출,수정일 컬럼에 가장 최근 저장 시점이 노출되는지 검증,아이콘이 등록 후 1회 이상 수정 저장된 상태,1. 아이콘 수정 후 저장 / 2. 결과 리스트에서 해당 항목의 수정일 컬럼을 확인,,수정일 컬럼에 가장 최근 저장 클릭 시점이 노출됨,Medium,Positive,12,,,
TC-030,N,아이콘 리스트 결과,R-002-12 '수정' 문구 클릭 — 새탭으로 수정 페이지 노출,'수정' 문구 클릭 시 새탭으로 수정 페이지가 노출되는지 검증,아이콘 리스트에 검색 결과가 있는 상태,1. 결과 목록에서 특정 항목의 '수정' 문구를 클릭 / 2. 브라우저 탭 상태를 확인,,새탭으로 해당 아이콘 수정 페이지가 노출됨,High,Positive,12,,,
TC-031,N,아이콘 리스트 결과,R-002-13 아이콘 번호 클릭 — '수정' 문구와 동일 동작 (새탭 수정 페이지),아이콘 번호 클릭 시 수정 문구 클릭과 동일하게 새탭 수정 페이지가 노출되는지 검증,아이콘 리스트에 검색 결과가 있는 상태,1. 결과 목록에서 특정 항목의 아이콘 번호를 클릭 / 2. 브라우저 탭 상태를 확인,,새탭으로 해당 아이콘 수정 페이지가 노출됨,High,Positive,12,,,
TC-034,N,아이콘 리스트 결과,R-002-04 레이아웃 — 검색 조건 FIXED / 결과 영역 SCROLL,결과 영역 스크롤 시 결과 영역만 스크롤되는지 검증,검색 결과가 스크롤이 필요할 만큼 충분히 노출된 상태,1. 결과 영역을 아래로 스크롤 / 2. 결과 영역의 스크롤 동작을 확인,,결과 영역이 스크롤됨,Medium,Positive,"12, 15",,,
